Bin Start,Accumulated Count
17.245418531878233ms,998999
17.258996089603677ms,998999
17.27257364732912ms,998999
17.286151205054566ms,998999
17.299728762780013ms,998999
17.313306320505458ms,998999
17.326883878230902ms,998999
17.340461435956346ms,998999
17.354038993681794ms,998999
17.367616551407238ms,999000
17.381194109132682ms,999000
17.394771666858126ms,999000
17.408349224583574ms,999000
17.42192678230902ms,999000
17.435504340034463ms,999000
17.44908189775991ms,999000
17.462659455485355ms,999000
17.4762370132108ms,999001
17.489814570936243ms,999001
17.50339212866169ms,999001
17.516969686387135ms,999001
17.53054724411258ms,999001
17.544124801838024ms,999001
17.55770235956347ms,999001
17.571279917288916ms,999001
17.58485747501436ms,999001
17.598435032739804ms,999001
17.612012590465252ms,999001
17.625590148190696ms,999001
17.63916770591614ms,999001
17.652745263641584ms,999001
17.666322821367032ms,999001
17.679900379092476ms,999001
17.69347793681792ms,999001
17.707055494543365ms,999001
17.720633052268813ms,999001
17.734210609994257ms,999001
17.7477881677197ms,999002
17.76136572544515ms,999002
17.774943283170593ms,999002
17.788520840896037ms,999002
17.80209839862148ms,999002
17.81567595634693ms,999002
17.829253514072374ms,999002
17.842831071797818ms,999002
17.856408629523262ms,999002
17.86998618724871ms,999002
17.883563744974154ms,999002
17.8971413026996ms,999002
17.910718860425042ms,999002
17.92429641815049ms,999002
17.937873975875934ms,999002
17.95145153360138ms,999002
17.965029091326823ms,999002
17.97860664905227ms,999002
17.992184206777715ms,999003
18.00576176450316ms,999003
18.019339322228603ms,999003
18.03291687995405ms,999003
18.046494437679495ms,999003
18.06007199540494ms,999003
18.073649553130384ms,999003
18.08722711085583ms,999003
18.100804668581276ms,999003
18.11438222630672ms,999003
18.127959784032168ms,999003
18.141537341757612ms,999003
18.155114899483056ms,999004
18.1686924572085ms,999004
18.18227001493395ms,999004
18.195847572659392ms,999004
18.209425130384837ms,999004
18.22300268811028ms,999004
18.23658024583573ms,999004
18.250157803561173ms,999004
18.263735361286617ms,999004
18.27731291901206ms,999004
18.29089047673751ms,999004
18.304468034462953ms,999004
18.318045592188398ms,999004
18.331623149913842ms,999004
18.34520070763929ms,999004
18.358778265364734ms,999004
18.372355823090178ms,999004
18.385933380815622ms,999004
18.39951093854107ms,999004
18.413088496266514ms,999004
18.42666605399196ms,999004
18.440243611717406ms,999004
18.45382116944285ms,999005
18.467398727168295ms,999005
18.48097628489374ms,999005
18.494553842619187ms,999005
18.50813140034463ms,999005
18.521708958070075ms,999005
18.53528651579552ms,999005
18.548864073520967ms,999005
18.56244163124641ms,999005
18.576019188971856ms,999005
18.5895967466973ms,999005
18.603174304422748ms,999005
18.61675186214819ms,999005
18.630329419873636ms,999005
18.64390697759908ms,999005
18.657484535324528ms,999005
18.671062093049972ms,999005
18.684639650775416ms,999005
